,timestamp,open,high,low,close,volume
0,1766746200000,1.531,1.531,1.529,1.53,2623.91
1,1766746500000,1.53,1.53,1.529,1.529,1288.18
2,1766746800000,1.529,1.529,1.526,1.526,2417.99
3,1766747100000,1.526,1.527,1.526,1.527,1600.92
4,1766747400000,1.527,1.528,1.526,1.526,3676.57
5,1766747700000,1.526,1.526,1.525,1.526,2208.5
6,1766748000000,1.526,1.526,1.524,1.525,2788.47
7,1766748300000,1.525,1.529,1.525,1.528,1847.16
8,1766748600000,1.528,1.53,1.528,1.528,3997.61
9,1766748900000,1.528,1.528,1.526,1.527,1878.67
10,1766749200000,1.527,1.528,1.526,1.528,2885.58
11,1766749500000,1.528,1.529,1.527,1.527,2089.6
12,1766749800000,1.527,1.529,1.527,1.527,3149.03
13,1766750100000,1.527,1.529,1.526,1.527,6866.4
14,1766750400000,1.527,1.53,1.527,1.528,2542.34
15,1766750700000,1.528,1.532,1.528,1.53,13769.84
16,1766751000000,1.53,1.532,1.529,1.532,3744.0
17,1766751300000,1.532,1.532,1.53,1.53,1756.57
18,1766751600000,1.53,1.53,1.527,1.528,2882.5
19,1766751900000,1.528,1.53,1.528,1.528,1698.57
20,1766752200000,1.528,1.529,1.526,1.529,4159.67
21,1766752500000,1.529,1.531,1.529,1.53,2623.21
22,1766752800000,1.53,1.532,1.53,1.532,111.31
23,1766753100000,1.532,1.533,1.529,1.529,1220.4
24,1766753400000,1.529,1.532,1.529,1.531,2302.54
25,1766753700000,1.531,1.531,1.53,1.53,208.77
26,1766754000000,1.53,1.531,1.527,1.53,4141.5
27,1766754300000,1.53,1.531,1.529,1.53,2145.69
28,1766754600000,1.53,1.534,1.53,1.532,1954.78
29,1766754900000,1.532,1.533,1.53,1.53,1679.49
30,1766755200000,1.53,1.531,1.526,1.531,3433.51
31,1766755500000,1.531,1.532,1.528,1.528,892.21
32,1766755800000,1.528,1.528,1.526,1.527,1816.9
33,1766756100000,1.527,1.528,1.525,1.528,2084.11
34,1766756400000,1.528,1.53,1.527,1.528,3822.78
35,1766756700000,1.528,1.531,1.528,1.53,3226.54
36,1766757000000,1.53,1.53,1.528,1.53,4043.87
37,1766757300000,1.53,1.53,1.529,1.53,1748.39
38,1766757600000,1.53,1.53,1.527,1.529,3205.76
39,1766757900000,1.529,1.529,1.526,1.527,2786.35
40,1766758200000,1.527,1.53,1.527,1.53,473.65
41,1766758500000,1.53,1.53,1.529,1.529,890.39
42,1766758800000,1.529,1.533,1.529,1.531,1081.77
43,1766759100000,1.531,1.532,1.53,1.53,1482.73
44,1766759400000,1.53,1.53,1.522,1.525,4567.66
45,1766759700000,1.525,1.527,1.523,1.524,1894.06
46,1766760000000,1.524,1.526,1.519,1.524,7486.18
47,1766760300000,1.524,1.524,1.512,1.514,36665.85
48,1766760600000,1.514,1.514,1.502,1.508,35895.4
49,1766760900000,1.508,1.509,1.503,1.505,12850.88
50,1766761200000,1.505,1.505,1.487,1.5,68530.13
51,1766761500000,1.5,1.504,1.495,1.499,15085.24
52,1766761800000,1.499,1.499,1.493,1.493,7559.25
53,1766762100000,1.493,1.497,1.489,1.495,28595.13
54,1766762400000,1.495,1.501,1.49,1.496,19690.01
55,1766762700000,1.496,1.496,1.493,1.495,5768.47
56,1766763000000,1.495,1.505,1.494,1.504,11702.3
57,1766763300000,1.504,1.508,1.5,1.505,15979.78
58,1766763600000,1.505,1.507,1.503,1.505,4590.73
59,1766763900000,1.505,1.511,1.505,1.509,10245.05
60,1766764200000,1.509,1.51,1.506,1.507,5441.51
61,1766764500000,1.507,1.515,1.507,1.512,10631.6
62,1766764800000,1.512,1.516,1.51,1.514,12682.54
63,1766765100000,1.514,1.514,1.505,1.507,6338.7
64,1766765400000,1.507,1.511,1.506,1.509,3880.26
65,1766765700000,1.509,1.513,1.509,1.512,4142.53
66,1766766000000,1.512,1.517,1.512,1.512,2211.04
67,1766766300000,1.512,1.513,1.508,1.511,5003.58
68,1766766600000,1.511,1.516,1.51,1.512,2824.43
69,1766766900000,1.512,1.516,1.512,1.513,1907.88
70,1766767200000,1.513,1.517,1.513,1.515,2747.71
71,1766767500000,1.515,1.515,1.509,1.512,3989.8
72,1766767800000,1.512,1.513,1.51,1.512,1930.92
73,1766768100000,1.512,1.512,1.502,1.503,10758.13
74,1766768400000,1.503,1.507,1.503,1.506,7578.61
75,1766768700000,1.506,1.509,1.506,1.507,2122.28
76,1766769000000,1.507,1.507,1.504,1.504,2318.65
77,1766769300000,1.504,1.508,1.504,1.506,2097.61
78,1766769600000,1.506,1.506,1.499,1.501,5293.29
79,1766769900000,1.501,1.516,1.501,1.515,11088.81
80,1766770200000,1.515,1.519,1.514,1.514,4925.78
81,1766770500000,1.514,1.514,1.51,1.513,7634.82
82,1766770800000,1.513,1.517,1.513,1.515,4434.85
83,1766771100000,1.515,1.519,1.514,1.518,2468.56
84,1766771400000,1.518,1.518,1.511,1.511,4070.09
85,1766771700000,1.511,1.512,1.51,1.511,770.94
86,1766772000000,1.511,1.513,1.511,1.513,2564.13
87,1766772300000,1.513,1.515,1.511,1.512,6706.26
88,1766772600000,1.512,1.515,1.512,1.515,2700.67
89,1766772900000,1.515,1.516,1.514,1.516,254.85
90,1766773200000,1.516,1.52,1.515,1.52,12598.78
91,1766773500000,1.52,1.521,1.517,1.517,3282.85
92,1766773800000,1.517,1.522,1.517,1.521,1240.0
93,1766774100000,1.521,1.525,1.521,1.524,5486.85
94,1766774400000,1.524,1.525,1.524,1.524,2979.8
95,1766774700000,1.524,1.524,1.52,1.523,3706.9
96,1766775000000,1.523,1.524,1.522,1.522,1648.6
97,1766775300000,1.522,1.523,1.522,1.523,2066.56
98,1766775600000,1.523,1.526,1.522,1.524,2248.43
99,1766775900000,1.524,1.528,1.523,1.524,948.3
100,1766776200000,1.524,1.524,1.521,1.521,238.75
101,1766776500000,1.521,1.521,1.518,1.521,7120.49
102,1766776800000,1.521,1.525,1.521,1.524,1816.95
103,1766777100000,1.524,1.524,1.522,1.523,1253.38
104,1766777400000,1.523,1.526,1.523,1.526,5239.17
105,1766777700000,1.526,1.528,1.526,1.527,2124.65
106,1766778000000,1.527,1.529,1.527,1.528,3842.28
107,1766778300000,1.528,1.531,1.527,1.528,21179.13
108,1766778600000,1.528,1.528,1.526,1.526,570.39
109,1766778900000,1.526,1.527,1.525,1.526,1265.38
110,1766779200000,1.526,1.526,1.521,1.521,5826.96
111,1766779500000,1.521,1.522,1.52,1.522,2094.15
112,1766779800000,1.522,1.522,1.52,1.521,1516.36
113,1766780100000,1.521,1.523,1.521,1.522,2259.96
114,1766780400000,1.522,1.524,1.522,1.524,639.23
115,1766780700000,1.524,1.524,1.521,1.523,3030.6
116,1766781000000,1.523,1.523,1.522,1.523,686.07
117,1766781300000,1.523,1.525,1.523,1.525,1924.29
118,1766781600000,1.525,1.525,1.524,1.525,2465.7
119,1766781900000,1.525,1.529,1.525,1.527,2449.09
120,1766782200000,1.527,1.528,1.525,1.525,1954.6
121,1766782500000,1.525,1.525,1.523,1.524,1495.94
122,1766782800000,1.524,1.529,1.524,1.527,16902.78
123,1766783100000,1.527,1.527,1.524,1.525,474.04
124,1766783400000,1.525,1.525,1.524,1.525,263.83
125,1766783700000,1.525,1.526,1.525,1.525,1910.78
126,1766784000000,1.525,1.526,1.524,1.524,175.45
127,1766784300000,1.524,1.524,1.523,1.524,299.24
128,1766784600000,1.524,1.524,1.521,1.522,886.99
129,1766784900000,1.522,1.523,1.522,1.523,515.28
130,1766785200000,1.523,1.523,1.522,1.523,271.47
131,1766785500000,1.523,1.525,1.523,1.525,1166.35
